scorer,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie
bodyparts,Hand,Hand,Finger1,Finger1,Tongue,Tongue,Joystick1,Joystick1,Joystick2,Joystick2
coords,x,y,x,y,x,y,x,y,x,y
labeled-data/reachingvideo1/img005.png,46.78255031820771,625.175790345113,81.5680835101154,652.23120504993,361.14070212655866,446.0947120608474,365.0057613701039,676.7099135923836,,
labeled-data/reachingvideo1/img020.png,46.78255031820771,625.175790345113,81.5680835101154,652.23120504993,361.14070212655866,446.0947120608474,365.0057613701039,676.7099135923836,,
labeled-data/reachingvideo1/img023.png,46.78255031820771,625.175790345113,81.5680835101154,652.23120504993,361.14070212655866,446.0947120608474,365.0057613701039,676.7099135923836,,
labeled-data/reachingvideo1/img028.png,,,,,,,,,,
labeled-data/reachingvideo1/img031.png,,,,,,,,,,
labeled-data/reachingvideo1/img033.png,,,,,,,,,,
labeled-data/reachingvideo1/img036.png,,,,,,,,,,
labeled-data/reachingvideo1/img037.png,,,,,,,,,,
labeled-data/reachingvideo1/img038.png,,,,,,,,,,
labeled-data/reachingvideo1/img040.png,,,,,,,,,,
labeled-data/reachingvideo1/img042.png,,,,,,,,,,
labeled-data/reachingvideo1/img043.png,,,,,,,,,,
labeled-data/reachingvideo1/img046.png,,,,,,,,,,
labeled-data/reachingvideo1/img048.png,,,,,,,,,,
labeled-data/reachingvideo1/img052.png,,,,,,,,,,
labeled-data/reachingvideo1/img060.png,,,,,,,,,,
labeled-data/reachingvideo1/img068.png,,,,,,,,,,
labeled-data/reachingvideo1/img071.png,,,,,,,,,,
labeled-data/reachingvideo1/img075.png,,,,,,,,,,
labeled-data/reachingvideo1/img077.png,,,,,,,,,,
labeled-data/reachingvideo1/img080.png,,,,,,,,,,
labeled-data/reachingvideo1/img087.png,,,,,,,,,,
labeled-data/reachingvideo1/img090.png,,,,,,,,,,
labeled-data/reachingvideo1/img100.png,,,,,,,,,,
labeled-data/reachingvideo1/img103.png,,,,,,,,,,
labeled-data/reachingvideo1/img108.png,,,,,,,,,,
labeled-data/reachingvideo1/img116.png,,,,,,,,,,
labeled-data/reachingvideo1/img118.png,,,,,,,,,,
labeled-data/reachingvideo1/img119.png,,,,,,,,,,
labeled-data/reachingvideo1/img126.png,,,,,,,,,,
labeled-data/reachingvideo1/img141.png,,,,,,,,,,
labeled-data/reachingvideo1/img142.png,,,,,,,,,,
labeled-data/reachingvideo1/img145.png,,,,,,,,,,
labeled-data/reachingvideo1/img151.png,,,,,,,,,,
labeled-data/reachingvideo1/img152.png,,,,,,,,,,
labeled-data/reachingvideo1/img157.png,,,,,,,,,,
labeled-data/reachingvideo1/img167.png,,,,,,,,,,
labeled-data/reachingvideo1/img168.png,,,,,,,,,,
labeled-data/reachingvideo1/img177.png,,,,,,,,,,
labeled-data/reachingvideo1/img179.png,,,,,,,,,,
labeled-data/reachingvideo1/img180.png,,,,,,,,,,
labeled-data/reachingvideo1/img194.png,,,,,,,,,,
labeled-data/reachingvideo1/img201.png,,,,,,,,,,
labeled-data/reachingvideo1/img211.png,,,,,,,,,,
labeled-data/reachingvideo1/img213.png,,,,,,,,,,
labeled-data/reachingvideo1/img214.png,,,,,,,,,,
labeled-data/reachingvideo1/img225.png,,,,,,,,,,
labeled-data/reachingvideo1/img227.png,,,,,,,,,,
labeled-data/reachingvideo1/img228.png,,,,,,,,,,
labeled-data/reachingvideo1/img230.png,,,,,,,,,,
labeled-data/reachingvideo1/img231.png,,,,,,,,,,
labeled-data/reachingvideo1/img234.png,,,,,,,,,,
labeled-data/reachingvideo1/img237.png,,,,,,,,,,
labeled-data/reachingvideo1/img240.png,,,,,,,,,,
labeled-data/reachingvideo1/img245.png,,,,,,,,,,
